date,time,open,high,low,close,volume
2020-03-05,9:25:00,28225,28365,28215,28365,198518
2020-03-05,9:20:00,28230,28255,28215,28230,217605
2020-03-05,9:15:00,28195,28270,28185,28230,192212
2020-03-05,9:10:00,28205,28220,28165,28200,129296
2020-03-05,9:05:00,28240,28240,28125,28205,177040
2020-03-05,9:00:00,28370,28420,28220,28240,365920
2020-03-04,15:35:00,28200,28200,28200,28200,5041
2020-03-04,15:30:00,28200,28200,28200,28200,258442
2020-03-04,15:15:00,28190,28200,28180,28180,47599
2020-03-04,15:10:00,28235,28245,28165,28190,118573
2020-03-04,15:05:00,28175,28235,28160,28235,88997
2020-03-04,15:00:00,28165,28185,28155,28175,26173
2020-03-04,14:55:00,28195,28200,28160,28170,60951
2020-03-04,14:50:00,28210,28210,28190,28200,32665
2020-03-04,14:45:00,28150,28215,28150,28215,43584
2020-03-04,14:40:00,28140,28160,28135,28160,17942
2020-03-04,14:35:00,28100,28145,28095,28145,24727
2020-03-04,14:30:00,28115,28140,28100,28100,44919
2020-03-04,14:25:00,28095,28160,28095,28110,39179
2020-03-04,14:20:00,28080,28115,28080,28095,29898
2020-03-04,14:15:00,28120,28135,28055,28095,52315
2020-03-04,14:10:00,28135,28140,28115,28120,22671
2020-03-04,14:05:00,28140,28155,28125,28135,18706
2020-03-04,14:00:00,28160,28160,28130,28135,11288
2020-03-04,13:55:00,28160,28165,28140,28155,9563
2020-03-04,13:50:00,28135,28170,28135,28160,59409
2020-03-04,13:45:00,28150,28180,28135,28140,41651
2020-03-04,13:40:00,28145,28160,28135,28150,47848
2020-03-04,13:35:00,28145,28150,28115,28145,19222
2020-03-04,13:30:00,28145,28150,28115,28150,48620
2020-03-04,13:25:00,28140,28150,28115,28145,20423
2020-03-04,13:20:00,28155,28155,28130,28145,14574
2020-03-04,13:15:00,28120,28165,28110,28155,129802
2020-03-04,13:10:00,28155,28165,28100,28120,56729
2020-03-04,13:05:00,28155,28160,28135,28160,9212
2020-03-04,13:00:00,28185,28200,28155,28155,45442
2020-03-04,12:55:00,28135,28185,28130,28185,36156
2020-03-04,12:50:00,28135,28140,28120,28130,12157
2020-03-04,12:45:00,28155,28155,28120,28140,11624
2020-03-04,12:40:00,28135,28160,28130,28155,12805
2020-03-04,12:35:00,28160,28170,28130,28140,35974
2020-03-04,12:30:00,28180,28200,28165,28165,20415
2020-03-04,12:25:00,28155,28200,28155,28185,21285
2020-03-04,12:20:00,28200,28200,28155,28160,15107
2020-03-04,12:15:00,28215,28215,28185,28195,34967
2020-03-04,12:10:00,28220,28220,28195,28210,34460
2020-03-04,12:05:00,28190,28220,28185,28215,30213
2020-03-04,12:00:00,28190,28195,28165,28190,46636
2020-03-04,11:55:00,28165,28200,28150,28185,31142
2020-03-04,11:50:00,28170,28170,28145,28165,25180
2020-03-04,11:45:00,28175,28195,28160,28165,54685
2020-03-04,11:40:00,28110,28190,28110,28180,57444
2020-03-04,11:35:00,28105,28130,28100,28110,60692
2020-03-04,11:30:00,28065,28110,28050,28105,32762
2020-03-04,11:25:00,28055,28070,28045,28065,17518
2020-03-04,11:20:00,28030,28070,28020,28055,48130
2020-03-04,11:15:00,27985,28040,27980,28020,55571
2020-03-04,11:10:00,27990,28030,27980,27980,22889
2020-03-04,11:05:00,27980,28015,27980,27990,30172
2020-03-04,11:00:00,28045,28045,27965,27990,41334
2020-03-04,10:55:00,28005,28065,28000,28050,47389
2020-03-04,10:50:00,27960,28005,27960,28000,56940
2020-03-04,10:45:00,27935,27975,27920,27970,48472
2020-03-04,10:40:00,28020,28040,27915,27925,33749
2020-03-04,10:35:00,28030,28055,28015,28020,60719
2020-03-04,10:30:00,28065,28085,28005,28030,67389
2020-03-04,10:25:00,28065,28085,28050,28065,70778
2020-03-04,10:20:00,28025,28070,28000,28060,34303
2020-03-04,10:15:00,28015,28030,27985,28030,25317
2020-03-04,10:10:00,27960,28020,27960,28015,81319
2020-03-04,10:05:00,27970,27980,27935,27965,77920
2020-03-04,10:00:00,27955,28000,27950,27965,150207
2020-03-04,9:55:00,27945,27985,27920,27950,84540
2020-03-04,9:50:00,27870,27960,27860,27945,67549
2020-03-04,9:45:00,27935,27935,27840,27860,68953
2020-03-04,9:40:00,27920,27960,27910,27935,45072
2020-03-04,9:35:00,27935,27950,27890,27920,117486
2020-03-04,9:30:00,27900,27940,27855,27925,118991
2020-03-04,9:25:00,27775,27900,27770,27900,46923
2020-03-04,9:20:00,27740,27820,27730,27775,73146
2020-03-04,9:15:00,27725,27775,27715,27745,103056
2020-03-04,9:10:00,27755,27800,27700,27720,129102
2020-03-04,9:05:00,27600,27790,27600,27755,150778
2020-03-04,9:00:00,27360,27615,27360,27595,174830
2020-03-03,15:35:00,27575,27575,27575,27575,874
2020-03-03,15:30:00,27575,27575,27575,27575,184363
2020-03-03,15:15:00,27475,27480,27440,27460,168491
2020-03-03,15:10:00,27510,27525,27460,27470,336265
2020-03-03,15:05:00,27555,27575,27505,27515,85786
2020-03-03,15:00:00,27635,27650,27545,27555,139552
2020-03-03,14:55:00,27665,27680,27630,27640,40450
2020-03-03,14:50:00,27675,27675,27620,27665,70052
2020-03-03,14:45:00,27700,27700,27650,27675,62377
2020-03-03,14:40:00,27695,27725,27690,27700,60630
2020-03-03,14:35:00,27685,27720,27670,27705,43037
2020-03-03,14:30:00,27710,27715,27660,27690,47651
2020-03-03,14:25:00,27725,27730,27680,27710,25762
2020-03-03,14:20:00,27715,27725,27680,27720,57383
2020-03-03,14:15:00,27725,27725,27695,27715,21060
2020-03-03,14:10:00,27735,27755,27720,27725,59953
2020-03-03,14:05:00,27795,27795,27730,27740,63809
2020-03-03,14:00:00,27765,27805,27750,27795,74931
2020-03-03,13:55:00,27775,27800,27755,27765,25461
2020-03-03,13:50:00,27770,27810,27765,27780,29019
2020-03-03,13:45:00,27755,27775,27745,27765,79512
2020-03-03,13:40:00,27790,27815,27755,27755,86269
2020-03-03,13:35:00,27745,27795,27730,27785,47496
2020-03-03,13:30:00,27765,27785,27740,27740,63539
2020-03-03,13:25:00,27820,27835,27750,27765,86910
2020-03-03,13:20:00,27880,27895,27810,27820,65744
2020-03-03,13:15:00,27920,27925,27870,27885,23499
2020-03-03,13:10:00,27915,27945,27910,27925,39116
2020-03-03,13:05:00,27900,27930,27895,27915,32399
2020-03-03,13:00:00,27950,27950,27900,27900,46682
2020-03-03,12:55:00,27990,28010,27940,27955,71547
2020-03-03,12:50:00,27965,27990,27965,27990,24034
2020-03-03,12:45:00,27970,27980,27940,27965,68338
2020-03-03,12:40:00,27925,27970,27920,27970,30027
2020-03-03,12:35:00,27900,27940,27875,27925,33564
2020-03-03,12:30:00,27880,27920,27875,27905,105581
2020-03-03,12:25:00,27825,27885,27815,27885,38696
2020-03-03,12:20:00,27785,27835,27775,27830,17604
2020-03-03,12:15:00,27795,27800,27770,27790,20844
2020-03-03,12:10:00,27810,27810,27765,27785,13533
2020-03-03,12:05:00,27830,27830,27795,27800,15513
2020-03-03,12:00:00,27800,27835,27790,27825,20753
2020-03-03,11:55:00,27795,27810,27765,27800,21283
2020-03-03,11:50:00,27835,27835,27780,27790,64675
2020-03-03,11:45:00,27785,27835,27770,27825,59382
2020-03-03,11:40:00,27760,27785,27730,27785,55276
2020-03-03,11:35:00,27740,27775,27720,27765,19215
2020-03-03,11:30:00,27720,27750,27710,27745,90326
2020-03-03,11:25:00,27685,27725,27675,27720,25965
2020-03-03,11:20:00,27710,27710,27665,27670,112898
2020-03-03,11:15:00,27730,27750,27700,27710,35364
2020-03-03,11:10:00,27745,27750,27700,27725,93599
2020-03-03,11:05:00,27735,27795,27735,27750,178027
2020-03-03,11:00:00,27710,27745,27700,27735,131575
2020-03-03,10:55:00,27700,27725,27690,27710,162403
2020-03-03,10:50:00,27705,27750,27690,27695,133689
2020-03-03,10:45:00,27755,27755,27675,27705,173061
2020-03-03,10:40:00,27795,27805,27725,27755,132453
2020-03-03,10:35:00,27835,27840,27790,27795,91534
2020-03-03,10:30:00,27880,27885,27810,27835,160191
